,transcription,action,object,location
3886,Turn the heat up in the kitchen,increase,heat,kitchen
3887,Increase the heating,increase,heat,none
3888,Bring juice,bring,juice,none
3889,Turn the kitchen temperature down,decrease,heat,kitchen
3890,Turn the washroom lights off,deactivate,lights,washroom
3891,Turn the bathroom lights on,activate,lights,washroom
3892,Set language to German,change language,German,none
3893,Turn up the volume,increase,volume,none
3894,Turn the kitchen lights on,activate,lights,kitchen
3895,Increase the heating,increase,heat,none
3896,Turn the lights off,deactivate,lights,none
3897,Make it cooler,decrease,heat,none
3898,Turn it up,increase,volume,none
3899,Less heat,decrease,heat,none
3900,Turn on the lights,activate,lights,none
3901,Turn down the bedroom heat,decrease,heat,bedroom
3902,Washroom heat up,increase,heat,washroom
3903,Set my phone's language to Chinese,change language,Chinese,none
3904,Turn the volume up,increase,volume,none
3905,Turn the lamp off,deactivate,lamp,none
3906,Turn up the bedroom heat,increase,heat,bedroom
3907,Turn up the bathroom temperature,increase,heat,washroom
3908,Could you decrease the heating?,decrease,heat,none
3909,Decrease the volume,decrease,volume,none
3910,Bring socks,bring,socks,none
3911,Bathroom heat up,increase,heat,washroom
3912,Switch the language,change language,none,none
3913,Get me the newspaper,bring,newspaper,none
3914,Turn the washroom lights off,deactivate,lights,washroom
3915,Change the language,change language,none,none
3916,Turn the temperature down in the bathroom,decrease,heat,washroom
3917,Increase the temperature in the bathroom,increase,heat,washroom
3918,Turn the temperature up in the bathroom,increase,heat,washroom
3919,Turn the heat up in the kitchen,increase,heat,kitchen
3920,Increase the temperature in the washroom,increase,heat,washroom
3921,Turn the bathroom lights on,activate,lights,washroom
3922,Put on the music,activate,music,none
3923,Louder,increase,volume,none
3924,Switch on the washroom lights,activate,lights,washroom
3925,Turn off the music,deactivate,music,none
3926,Resume music,activate,music,none
3927,Washroom lights on,activate,lights,washroom
3928,Increase the heating in the washroom,increase,heat,washroom
3929,Decrease the temperature in the washroom,decrease,heat,washroom
3930,Make it louder,increase,volume,none
3931,Switch on the lights in the bedroom,activate,lights,bedroom
3932,I need to practice my English. Switch the language,change language,English,none
3933,Set language to Chinese,change language,Chinese,none
3934,Less heat,decrease,heat,none
3935,Go get the newspaper,bring,newspaper,none
3936,Turn the temperature up in the washroom,increase,heat,washroom
3937,Lights on in the kitchen,activate,lights,kitchen
3938,Turn up the heat,increase,heat,none
3939,Turn the heat down in the kitchen,decrease,heat,kitchen
3940,Allow a different language,change language,none,none
3941,Too loud,decrease,volume,none
3942,Could you decrease the heating?,decrease,heat,none
3943,Decrease the heating,decrease,heat,none
3944,I need to practice my English. Switch the language,change language,English,none
3945,Turn down the heat in the bathroom,decrease,heat,washroom
3946,Language settings,change language,none,none
3947,Lights on in the washroom,activate,lights,washroom
3948,Turn the bathroom lights on,activate,lights,washroom
3949,Turn the temperature in the bedroom up,increase,heat,bedroom
3950,Turn on the lamp,activate,lamp,none
3951,Turn the lamp on,activate,lamp,none
3952,Decrease the temperature in the bathroom,decrease,heat,washroom
3953,Turn the bathroom lights on,activate,lights,washroom
3954,Switch off the washroom lights,deactivate,lights,washroom
3955,Switch the kitchen lights on,activate,lights,kitchen
3956,Turn down the heat,decrease,heat,none
3957,Increase the sound volume,increase,volume,none
3958,Turn the lamp off,deactivate,lamp,none
3959,Decrease the temperature in the bathroom,decrease,heat,washroom
3960,Turn up the heat in the washroom,increase,heat,washroom
3961,Turn on the washroom lights,activate,lights,washroom
3962,Make the music softer,decrease,volume,none
3963,I need to practice my English. Switch the language,change language,English,none
3964,Go get the newspaper,bring,newspaper,none
3965,Turn the temperature down,decrease,heat,none
3966,Turn volume up,increase,volume,none
3967,Turn up the temperature,increase,heat,none
3968,Get me the newspaper,bring,newspaper,none
3969,Change the language,change language,none,none
3970,Bring me my socks,bring,socks,none
3971,Set my phone's language to German,change language,German,none
3972,"It’s too loud, turn the volume down",decrease,volume,none
3973,OK now switch the main language to Korean,change language,Korean,none
3974,Set the language,change language,none,none
3975,Could you increase the heating please?,increase,heat,none
3976,Set my phone's language to English,change language,English,none
3977,Turn down the volume,decrease,volume,none
3978,I need to practice my Chinese. Switch the language,change language,Chinese,none
3979,Resume,activate,music,none
3980,Turn the temperature in the bedroom down,decrease,heat,bedroom
3981,Switch off the lights in the kitchen,deactivate,lights,kitchen
3982,Far too quiet,increase,volume,none
3983,Louder,increase,volume,none
3984,Kitchen heat down,decrease,heat,kitchen
3985,Stop music,deactivate,music,none
3986,Kitchen lights on,activate,lights,kitchen
3987,Turn the bathroom lights on,activate,lights,washroom
3988,Change system language,change language,none,none
3989,Turn down the heat in the bathroom,decrease,heat,washroom
3990,"It’s too loud, turn it down",decrease,volume,none
3991,Switch the lights on,activate,lights,none
3992,Decrease the temperature,decrease,heat,none
3993,Lights on in the bedroom,activate,lights,bedroom
3994,Turn the washroom lights on,activate,lights,washroom
3995,Washroom lights on,activate,lights,washroom
3996,Fetch my shoes,bring,shoes,none
3997,Far too quiet,increase,volume,none
3998,Pause,deactivate,music,none
3999,Bring my shoes,bring,shoes,none
4000,Bring me my socks,bring,socks,none
4001,Too loud,decrease,volume,none
4002,Increase the heating,increase,heat,none
4003,Turn the volume up,increase,volume,none
4004,Turn down the bathroom temperature,decrease,heat,washroom
4005,Set my phone's language to English,change language,English,none
4006,Turn the lights on,activate,lights,none
4007,Switch on the kitchen lights,activate,lights,kitchen
4008,Bedroom lights off,deactivate,lights,bedroom
4009,"I couldn't hear anything, turn up the volume",increase,volume,none
4010,Turn up the heat in the washroom,increase,heat,washroom
4011,Turn the heat up in the bathroom,increase,heat,washroom
4012,Turn on the kitchen lights,activate,lights,kitchen
4013,Change language,change language,none,none
4014,Bring me my shoes,bring,shoes,none
4015,Decrease the temperature in the bathroom,decrease,heat,washroom
4016,Get me my socks,bring,socks,none
4017,Turn the heat up in the washroom,increase,heat,washroom
4018,"I need to hear this, increase the volume",increase,volume,none
4019,Turn up the volume,increase,volume,none
4020,Make it cooler,decrease,heat,none
4021,Turn up the volume,increase,volume,none
4022,Stop music,deactivate,music,none
4023,Increase the heating in the kitchen,increase,heat,kitchen
4024,Bedroom lights on,activate,lights,bedroom
4025,Make it hotter,increase,heat,none
4026,Volume lower,decrease,volume,none
4027,Turn the bathroom lights on,activate,lights,washroom
4028,Switch the lights on,activate,lights,none
4029,Turn up the heat in the bathroom,increase,heat,washroom
4030,Bring some juice,bring,juice,none
4031,Kitchen lights on,activate,lights,kitchen
4032,Increase the volume,increase,volume,none
4033,Turn on the washroom lights,activate,lights,washroom
4034,Switch on the lights in the bedroom,activate,lights,bedroom
4035,Turn down the temperature in the bedroom,decrease,heat,bedroom
4036,Increase the heating in the kitchen,increase,heat,kitchen
4037,Turn up the heat in the kitchen,increase,heat,kitchen
4038,OK now switch the main language to Korean,change language,Korean,none
4039,Turn the heat up in the bathroom,increase,heat,washroom
4040,Turn up the bathroom temperature,increase,heat,washroom
4041,Turn the bedroom heat down,decrease,heat,bedroom
4042,Too loud,decrease,volume,none
4043,Turn up the temperature,increase,heat,none
4044,Turn off the lamp,deactivate,lamp,none
4045,Turn on the washroom lights,activate,lights,washroom
4046,Turn the kitchen temperature down,decrease,heat,kitchen
4047,Decrease the temperature in the washroom,decrease,heat,washroom
4048,Turn the washroom lights on,activate,lights,washroom
4049,Decrease the temperature in the kitchen,decrease,heat,kitchen
4050,Turn off the lights,deactivate,lights,none
4051,Lamp on,activate,lamp,none
4052,Allow a different language,change language,none,none
4053,Lights on in the kitchen,activate,lights,kitchen
4054,Turn the lights on,activate,lights,none
4055,Set language to Chinese,change language,Chinese,none
4056,Turn sound up,increase,volume,none
4057,Turn the temperature up in the bathroom,increase,heat,washroom
4058,Turn the sound up,increase,volume,none
4059,I need to practice my Chinese. Switch the language,change language,Chinese,none
4060,Turn the bedroom heat down,decrease,heat,bedroom
4061,Turn on the washroom lights,activate,lights,washroom
4062,Could you increase the heating?,increase,heat,none
4063,Could you decrease the heating please?,decrease,heat,none
4064,Turn off the lights in the bedroom,deactivate,lights,bedroom
4065,Kitchen lights off,deactivate,lights,kitchen
4066,Start the music,activate,music,none
4067,Decrease the temperature in the bedroom,decrease,heat,bedroom
4068,More heat,increase,heat,none
4069,Could you increase the heating please?,increase,heat,none
4070,Bring newspaper,bring,newspaper,none
4071,Make it hotter,increase,heat,none
4072,Switch on the lights in the bedroom,activate,lights,bedroom
4073,Make it quieter,decrease,volume,none
4074,Get me the newspaper,bring,newspaper,none
4075,Decrease the heating in the bathroom,decrease,heat,washroom
4076,Turn the temperature in the bedroom up,increase,heat,bedroom
4077,Switch off the washroom lights,deactivate,lights,washroom
4078,Decrease the heating in the bedroom,decrease,heat,bedroom
4079,Turn the kitchen temperature down,decrease,heat,kitchen
4080,Switch the lights off,deactivate,lights,none
4081,Switch the lights on,activate,lights,none
4082,Switch the lights off,deactivate,lights,none
4083,Go get me my shoes,bring,shoes,none
4084,Decrease the temperature in the washroom,decrease,heat,washroom
4085,Lights off in the bedroom,deactivate,lights,bedroom
4086,Switch off the lights in the kitchen,deactivate,lights,kitchen
4087,Lights on in the bedroom,activate,lights,bedroom
4088,Turn the heat up in the washroom,increase,heat,washroom
4089,I need to practice my English. Switch the language,change language,English,none
4090,Turn the kitchen temperature down,decrease,heat,kitchen
4091,Bring some juice,bring,juice,none
4092,Turn volume down,decrease,volume,none
4093,Turn the temperature down,decrease,heat,none
4094,Turn down the volume,decrease,volume,none
4095,Increase the heating in the kitchen,increase,heat,kitchen
4096,Increase the temperature in the bedroom,increase,heat,bedroom
4097,"It’s too loud, turn it down",decrease,volume,none
4098,Bring socks,bring,socks,none
4099,Increase the heating in the washroom,increase,heat,washroom
4100,Fetch the newspaper,bring,newspaper,none
4101,Turn up the temperature,increase,heat,none
4102,Decrease the heating in the kitchen,decrease,heat,kitchen
4103,Turn the lamp off,deactivate,lamp,none
4104,I need to practice my German. Switch the language,change language,German,none
4105,Turn it up,increase,volume,none
4106,Turn the heat down in the washroom,decrease,heat,washroom
4107,Less heat,decrease,heat,none
4108,Turn up the heat in the bathroom,increase,heat,washroom
4109,Turn off the lights,deactivate,lights,none
4110,Turn up the temperature in the kitchen,increase,heat,kitchen
4111,Volume down,decrease,volume,none
4112,Lower the volume,decrease,volume,none
4113,Set my phone's language to English,change language,English,none
4114,Increase the heating in the kitchen,increase,heat,kitchen
